region,temperature,latitude,longitude
Ordos Plateau steppe,-16.0,38.11015887689955,108.11008862210534
Tian Shan montane conifer forests,-15.6,43.1498041178344,80.3730446960803
Russian Arctic desert,-15.4,79.66061406999177,51.73853386994074
New England-Acadian forests,-15.4,45.49918119404632,-68.92527523096754
Suiphun-Khanka meadows and forest meadows,-15.4,45.16497882244734,132.58895455681395
Kamchatka-Kurile meadows and sparse forests,-14.9,55.35998141124596,158.43376272483894
Montana Valley and Foothill grasslands,-14.6,46.62716716115227,-111.69567889872829
Kamchatka tundra,-14.4,56.576460259847074,159.87730826756294
Central Korean deciduous forests,-14.4,37.163165197189635,127.49409646982225
Kazakh forest steppe,-14.3,54.41607515019459,71.84481079066894
South Victoria Land tundra,-14.3,-77.7086753552398,162.09126156651828
Qilian Mountains conifer forests,-14.0,35.51530788180018,102.42011982829176
