region,temperature,max_rainfall,latitude,longitude
Enriquillo wetlands,32.4,0.0,18.483828103434963,-71.52181375318814
Peninsular Malaysian peat swamp forests,32.4,0.0,3.1943283379716174,102.70248023441829
Northeast Congolian lowland forests,32.4,0.0,1.776464026937003,25.105841410851614
Highveld grasslands,32.4,0.1,-27.79187843807857,27.763014210968915
Low Monte,32.4,0.0,-38.184342742852124,-67.06861624110685
Guayaquil flooded grasslands,32.4,0.1,-2.081052039356999,-79.65011052411519
Cuban cactus scrub,32.3,0.0,20.863016158044726,-77.22928202530773
Central Deccan Plateau dry deciduous forests,32.3,0.0,18.78705279825142,78.41332643258652
Southern Andean steppe,32.3,0.0,-30.597938973987894,-69.32507264796696
Cuban dry forests,32.3,0.0,21.672798791081767,-78.84907233838963
Northwest Congolian lowland forests,32.2,1.2,1.708633385734085,14.15528015327011
Sinaloan dry forests,32.2,0.0,24.277422433271678,-106.55110300301288
Myanmar coastal rain forests,32.2,0.0,17.341586850277224,95.87242489165168
South Deccan Plateau dry deciduous forests,32.2,0.5,11.695949951902877,77.6891999987456
Congolian coastal forests,32.1,3.5,-0.29426802771076377,10.793262628601678
Galápagos Islands xeric scrub,32.1,0.0,-0.547217366796465,-90.89868334792142
