region,max_rainfall,latitude,longitude
Northern California coastal forests,72.4,39.64670356764431,-123.53864100765831
Christmas and Cocos Islands tropical forests,39.2,-10.688149864103414,104.51923438156997
Banda Sea Islands moist deciduous forests,38.1,-7.34669310648634,130.92863667873334
St. Peter and St. Paul Rocks,34.8,0.912051325028964,-29.30960260963978
Papuan Central Range sub-alpine grasslands,30.2,-4.8197817284047515,140.48757345041892
Klamath-Siskiyou forests,29.7,41.36514597815255,-123.19883470101941
Sierra Nevada forests,26.5,37.97437445567398,-119.64165048860815
South American Pacific mangroves,25.1,1.9967340596103078,-78.93348424314402
Mascarene forests,22.6,-20.77486173261119,56.457593523597716
Northern New Guinea lowland rain and freshwater swamp forests,21.6,-3.63801436257372,141.33238298948197
Malpelo Island xeric scrub,21.0,3.9762817165759747,-81.59670369363216
Eastern Arc forests,20.8,-7.035120400363419,36.876213149701975
Serra do Mar coastal forests,18.3,-24.603675955210402,-46.74659571502226
Palau tropical moist forests,18.1,7.4253860002609,134.51915544960022
Cordillera Central páramo,18.0,-7.498335270402999,-77.92592568996928
Snake-Columbia shrub steppe,17.9,42.68980755454539,-116.40050293625781
Valdivian temperate forests,17.9,-40.68766615819427,-72.26527403952412
Magdalena Valley dry forests,17.3,3.8686226490743683,-75.06663425388685
Zambezian flooded grasslands,15.2,-12.807323952368543,25.944701885169398
Comoros forests,14.9,-12.061740598129145,43.945388852132126
Southeast Papuan rain forests,14.4,-8.832525057157104,147.82537356977218
Solomon Islands rain forests,14.4,-8.149523853153418,158.32629437555408
Northern New Guinea montane rain forests,14.3,-2.9336831750361885,139.8077326512689
Trobriand Islands rain forests,13.8,-9.434444816059152,151.1669606992506
New Caledonia rain forests,13.5,-21.297896208741133,165.82696313399032
Eastern Guinean forests,13.4,6.404972044405235,-3.362598417998695
Sumatran montane rain forests,13.4,0.3868302445680112,99.97331694104007
Angolan montane forest-grassland,12.6,-12.559449630332985,15.090385965974889
Central Range Papuan montane rain forests,12.2,-5.038867742694143,141.35128706126807
Admiralty Islands lowland rain forests,12.1,-2.0978921880194057,146.9377885157643
New Britain-New Ireland montane rain forests,11.4,-5.177900329219584,151.26337163263216
Tocantins/Pindare moist forests,10.8,-3.011241229294425,-47.437584100892636
Tyrrhenian-Adriatic sclerophyllous and mixed forests,9.7,39.710214099027255,13.178919424845004
Madagascar subhumid forests,8.9,-19.106145936406328,47.14764695364909
Sulawesi lowland rain forests,8.9,-2.1591681915941017,121.77458188754093
Amsterdam-Saint Paul Islands temperate grasslands,8.9,-37.96332326915541,77.53305677296873
Buru rain forests,7.9,-3.4307203408839335,126.63873940368943
Southern Rift Montane forest-grassland,7.9,-9.853268716516373,34.04372696883163
Maranhão Babaçu forests,7.5,-4.29480004062247,-43.730000465263764
Cantabrian mixed forests,7.4,43.01002651756911,-5.2079893757005
Magellanic subpolar forests,7.3,-51.468294134919255,-72.14016680721207
North Atlantic moist mixed forests,7.3,55.973859181637145,-6.9188577804675315
Mediterranean conifer and mixed forests,7.1,35.395588965671976,0.9022264495101009
Faroe Islands boreal grasslands,7.0,62.06340688337104,-6.890413426503724
Madagascar mangroves,6.9,-17.12637725109567,45.22245472059953
Alto Paraná Atlantic forests,6.7,-23.453027626554825,-51.806390878660885
Eastern Cascades forests,6.7,43.04707492415838,-121.19066526238171
Sarmatic mixed forests,6.5,57.147120492636894,32.10378860704032
Eastern Java-Bali montane rain forests,6.5,-8.030941199210057,113.1741580771983
Biak-Numfoor rain forests,6.4,-0.9491367222826632,135.81197668734282
Mindanao-Eastern Visayas rain forests,6.4,8.55517395618273,124.75821313938688
Qionglai-Minshan conifer forests,6.4,30.564240229431032,102.99025070937863
Zambezian evergreen dry forests,6.1,-13.326320336638307,24.079362775900876
South Apennine mixed montane forests,6.0,39.31427817890075,15.633312450508567
Fernando de Noronha-Atol das Rocas moist forests,6.0,-3.8582743430639392,-32.43224764131676
Crimean Submediterranean forest complex,6.0,44.60638793393454,38.22402600940015
Sumba deciduous forests,5.5,-9.760878738855729,119.94907106874862
Sumatran lowland rain forests,5.5,-0.6303782198965853,101.33772542149747
Eastern Java-Bali rain forests,5.3,-7.567828239877282,112.29077319758417
Puget lowland forests,5.2,48.52791323189751,-123.47995423136172
Seram rain forests,5.2,-3.2434507420179175,129.36922139278607
East European forest steppe,5.0,53.00371969852676,42.04348004233598
Albertine Rift montane forests,4.7,-2.4318041849775773,29.39037875697362
Western Great Lakes forests,4.5,47.17356504040021,-90.73738563223078
Sechura desert,3.9,-13.254970236415627,-75.16090421039094
Illyrian deciduous forests,3.7,42.292117104047215,18.210945818134984
Central African mangroves,3.5,3.4071927434031792,7.127127382611599
Congolian coastal forests,3.5,-0.29426802771076377,10.793262628601678
North Cascades conifer forests,3.4,48.42370636500678,-120.92264049365122
Bolivian montane dry forests,3.4,-18.852284693043305,-65.4066025178345
Louisiade Archipelago rain forests,3.4,-11.217311901838483,153.1111366165302
Borneo peat swamp forests,3.3,0.36267295555641305,113.04682494272203
Northwestern Himalayan alpine shrub and meadows,3.2,34.00394329808208,75.24193209767817
Caledon conifer forests,3.1,57.17576490614072,-4.204720196124588
Yucatán dry forests,3.0,20.451122638257775,-89.22008560591787
Guizhou Plateau broadleaf and mixed forests,2.9,28.143994589940352,107.89532771212826
Blue Mountains forests,2.9,44.81202540606686,-118.61837452315152
Borneo montane rain forests,2.7,2.30633621195306,115.11605955624724
Daba Mountains evergreen forests,2.7,31.705000219641448,108.62273140904627
Northwest Iberian montane forests,2.7,41.63315669705106,-5.6046507756228
Central Pacific Northwest coastal forests,2.7,48.263216894416786,-125.40740828984282
Mesoamerican Gulf-Caribbean mangroves,2.7,18.187877345545356,-88.97369779758078
Lesser Sundas deciduous forests,2.6,-8.580294280822871,119.67568551707555
Patía valley dry forests,2.6,1.890645623482568,-77.19095086633294
Changjiang Plain evergreen forests,2.5,30.678014615783233,116.36056191331663
Caribbean shrublands,2.5,15.345185841473045,-62.71692393556557
Southern Swahili coastal forests and woodlands,2.4,-16.746987885055738,37.728077068843945
Northern Andean páramo,2.3,1.6463165730370146,-76.44403472192616
Chiquitano dry forests,2.3,-16.11154098921144,-60.50983089100575
South China Sea Islands,2.3,13.589150330997889,113.90922172750629
Celtic broadleaf forests,2.2,53.60561830165453,-4.169861435724176
Ecuadorian dry forests,2.2,-1.3600574600694266,-80.23315866756262
Sunda Shelf mangroves,2.2,0.8421284853282557,110.58945023391861
Northeast Brazil restingas,2.2,-2.8153340677170817,-42.43455844611171
Kwazulu Natal-Cape coastal forests,2.1,-30.195450650916236,30.666734607667546
Altai steppe and semi-desert,2.1,48.460159551190145,82.57869986344535
Cross-Sanaga-Bioko coastal forests,2.0,5.129817858006106,9.348414904213994
Sulu Archipelago rain forests,1.9,5.596154631657082,120.58237055845372
Huon Peninsula montane rain forests,1.8,-6.111194042585512,146.7519752787712
Wyoming Basin shrub steppe,1.8,42.42654494335129,-108.39440317449333
