region,average_max_temperature,average_min_temperature
Carpentaria tropical savanna,,
Iquitos várzea,,
Sumba deciduous forests,,
Aldabra Island xeric scrub,,
South Victoria Land tundra,,
Central American Atlantic moist forests,,
Southern Vietnam lowland dry forests,,
Azerbaijan shrub desert and steppe,,
Puget lowland forests,,
Mediterranean dry woodlands and steppe,,
Galápagos Islands xeric scrub,,
Iberian conifer forests,,
Southeast Indochina dry evergreen forests,,
Tehuacán Valley matorral,,
Vogelkop-Aru lowland rain forests,,
Mitchell Grass Downs,,
Iberian sclerophyllous and semi-deciduous forests,,
Caledon conifer forests,,
Hawai'i tropical high shrublands,,
Crete Mediterranean forests,,
Brigalow tropical savanna,,
Peninsular Malaysian peat swamp forests,,
Costa Rican seasonal moist forests,,
Einasleigh upland savanna,,
Paropamisus xeric woodlands,,
Atlantic coastal pine barrens,,
Yapen rain forests,,
Mediterranean Acacia-Argania dry woodlands and succulent thickets,,
Northern California coastal forests,,
Qin Ling Mountains deciduous forests,,
